# r (m)    potential (V)
             0       -4554.75
        0.0003       -4559.21
        0.0006       -4565.74
        0.0009       -4573.06
        0.0012        -4581.5
        0.0015       -4591.55
        0.0018       -4603.87
        0.0021        -4619.4
        0.0024       -4639.22
        0.0027       -4664.47
         0.003       -4696.44
        0.0033       -4736.51
        0.0036       -4785.94
        0.0039       -4845.64
        0.0042       -4915.47
        0.0045       -4990.68
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057       -4606.34
         0.006       -4208.54
        0.0063       -3866.45
        0.0066       -3570.84
        0.0069       -3312.11
        0.0072       -3082.94
        0.0075       -2877.93
        0.0078       -2693.04
        0.0081       -2525.16
        0.0084       -2371.85
        0.0087       -2231.14
         0.009       -2101.47
        0.0093       -1981.52
        0.0096       -1870.19
        0.0099       -1766.58
        0.0102        -1669.9
        0.0105       -1579.49
        0.0108       -1494.79
        0.0111       -1415.29
        0.0114       -1340.55
        0.0117       -1270.17
         0.012       -1203.83
        0.0123       -1141.22
        0.0126       -1082.09
        0.0129       -1026.18
        0.0132       -973.287
        0.0135       -923.215
        0.0138       -875.785
        0.0141       -830.827
        0.0144       -788.184
        0.0147       -747.722
         0.015       -709.317
        0.0153       -672.861
        0.0156       -638.252
        0.0159       -605.387
        0.0162       -574.178
        0.0165       -544.538
        0.0168       -516.395
        0.0171        -489.67
        0.0174       -464.293
        0.0177       -440.195
         0.018       -417.311
        0.0183       -395.583
        0.0186       -374.958
        0.0189        -355.38
        0.0192       -336.801
        0.0195       -319.184
        0.0198       -302.506
        0.0201       -286.781
        0.0204       -271.852
        0.0207       -257.627
         0.021       -244.064
        0.0213       -231.121
        0.0216       -218.761
        0.0219       -206.951
        0.0222       -195.644
        0.0225       -184.813
        0.0228       -174.428
        0.0231       -164.453
        0.0234       -154.868
        0.0237       -145.646
         0.024       -136.759
        0.0243       -128.181
        0.0246       -119.891
        0.0249       -111.879
        0.0252       -104.116
        0.0255       -96.5826
        0.0258       -89.2636
        0.0261       -82.1427
        0.0264       -75.2049
        0.0267        -68.436
         0.027       -61.8225
        0.0273       -55.3516
        0.0276       -49.0114
        0.0279       -42.7903
        0.0282       -36.6776
        0.0285        -30.663
        0.0288       -24.7366
        0.0291       -18.8893
        0.0294       -13.1125
        0.0297       -7.39888
          0.03       -1.74211
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
