# r (m)    potential (V)
             0       -4554.75
        0.0003       -4553.76
        0.0006       -4559.35
        0.0009       -4566.37
        0.0012       -4574.18
        0.0015       -4583.02
        0.0018       -4593.45
        0.0021       -4606.34
        0.0024       -4622.72
        0.0027       -4643.75
         0.003       -4670.56
        0.0033        -4704.3
        0.0036       -4746.24
        0.0039       -4797.62
        0.0042       -4859.49
        0.0045       -4932.44
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4570.65
        0.0063       -4165.05
        0.0066       -3825.96
        0.0069       -3534.76
        0.0072       -3280.21
        0.0075       -3054.78
        0.0078       -2853.05
        0.0081       -2671.06
        0.0084       -2505.77
        0.0087       -2354.78
         0.009       -2216.19
        0.0093       -2088.44
        0.0096       -1970.27
        0.0099       -1860.62
        0.0102       -1758.62
        0.0105       -1663.54
        0.0108       -1574.71
        0.0111       -1491.57
        0.0114       -1413.59
        0.0117       -1340.34
         0.012       -1271.44
        0.0123       -1206.56
        0.0126        -1145.4
        0.0129       -1087.67
        0.0132       -1033.16
        0.0135       -981.653
        0.0138       -932.962
        0.0141       -886.912
        0.0144       -843.355
        0.0147       -802.148
         0.015       -763.151
        0.0153       -726.247
        0.0156        -691.32
        0.0159       -658.269
        0.0162       -627.005
        0.0165        -597.44
        0.0168       -569.485
        0.0171       -543.057
        0.0174       -518.088
        0.0177       -494.507
         0.018       -472.243
        0.0183       -451.235
        0.0186       -431.444
        0.0189       -412.831
        0.0192       -395.347
        0.0195       -378.934
        0.0198       -363.545
        0.0201       -349.163
        0.0204        -335.83
        0.0207       -323.344
         0.021       -311.629
        0.0213       -300.646
        0.0216       -290.351
        0.0219       -280.702
        0.0222       -271.662
        0.0225       -263.186
        0.0228        -255.24
        0.0231       -247.792
        0.0234       -240.814
        0.0237        -234.28
         0.024       -228.171
        0.0243        -222.46
        0.0246       -217.127
        0.0249        -212.15
        0.0252       -207.513
        0.0255       -203.195
        0.0258       -199.181
        0.0261       -195.457
        0.0264       -192.009
        0.0267       -188.826
         0.027       -185.896
        0.0273       -183.211
        0.0276       -180.764
        0.0279        -178.54
        0.0282       -176.533
        0.0285       -174.737
        0.0288       -173.144
        0.0291        -171.75
        0.0294       -170.552
        0.0297       -169.544
          0.03       -168.725
        0.0303        -168.09
        0.0306       -167.639
        0.0309       -167.368
        0.0312       -167.278
