# iter      epot diff   scharge diff 
     1        121.458     0.00337894 
     2        185.294     0.00342033 
     3        223.138     0.00202989 
     4        132.905     0.00188743 
     5        134.149     0.00315885 
     6        192.113     0.00252699 
     7        172.174     0.00267107 
     8        187.848     0.00266748 
     9        162.609     0.00227793 
    10        157.656      0.0015725 
    11        115.246     0.00453792 
    12        348.141     0.00459315 
    13        401.364     0.00158537 
    14        97.9471     0.00412949 
    15        385.585     0.00414984 
    16        426.636     0.00282648 
    17        155.798     0.00371583 
    18        281.654     0.00375821 
    19        307.094     0.00366229 
