# r (m)    potential (V)
             0       -4554.75
        0.0003       -4555.93
        0.0006        -4558.4
        0.0009        -4561.9
        0.0012       -4566.63
        0.0015       -4573.21
        0.0018       -4582.38
        0.0021       -4594.74
        0.0024       -4611.09
        0.0027       -4632.44
         0.003       -4659.96
        0.0033       -4694.86
        0.0036       -4738.28
        0.0039       -4791.43
        0.0042       -4855.29
        0.0045       -4930.45
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4568.45
        0.0063        -4160.6
        0.0066        -3819.5
        0.0069       -3526.45
        0.0072       -3270.19
        0.0075       -3043.12
        0.0078       -2839.86
        0.0081       -2656.38
        0.0084       -2489.61
        0.0087       -2337.16
         0.009       -2197.09
        0.0093       -2067.84
        0.0096       -1948.13
        0.0099       -1836.87
        0.0102       -1733.15
        0.0105       -1636.19
        0.0108       -1545.33
        0.0111       -1459.98
        0.0114       -1379.64
        0.0117       -1303.87
         0.012       -1232.26
        0.0123       -1164.47
        0.0126       -1100.18
        0.0129       -1039.12
        0.0132       -981.028
        0.0135       -925.662
        0.0138       -872.806
        0.0141        -822.26
        0.0144       -773.833
        0.0147       -727.347
         0.015       -682.629
        0.0153       -639.516
        0.0156       -597.843
        0.0159       -557.445
        0.0162       -518.154
        0.0165       -479.787
        0.0168       -442.146
        0.0171       -405.003
        0.0174       -368.092
        0.0177       -331.079
         0.018       -293.537
        0.0183       -254.876
        0.0186       -214.223
        0.0189       -170.189
        0.0192       -120.359
        0.0195       -59.9659
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -5.43966
         0.021        -37.697
        0.0213       -58.3785
        0.0216       -72.3352
        0.0219        -82.035
        0.0222         -88.87
        0.0225       -93.6831
        0.0228       -97.0321
        0.0231       -99.2687
        0.0234       -100.655
        0.0237       -101.383
         0.024       -101.595
        0.0243       -101.401
        0.0246       -100.902
        0.0249       -100.146
        0.0252       -99.1834
        0.0255       -98.0579
        0.0258       -96.8042
        0.0261       -95.4486
        0.0264       -94.0147
        0.0267       -92.5205
         0.027       -90.9819
        0.0273       -89.4113
        0.0276       -87.8194
        0.0279       -86.2151
        0.0282       -84.6058
        0.0285       -83.0052
        0.0288        -81.417
        0.0291       -79.8405
        0.0294       -78.2799
        0.0297       -76.7383
          0.03       -75.2184
        0.0303       -73.7222
        0.0306       -72.2512
        0.0309       -70.8076
        0.0312       -69.3954
        0.0315       -68.0159
        0.0318       -66.6673
        0.0321       -65.3493
        0.0324       -64.0614
        0.0327       -62.8041
         0.033       -61.5775
        0.0333       -60.3817
        0.0336       -59.2166
        0.0339       -58.0815
        0.0342       -56.9822
        0.0345        -55.916
        0.0348       -54.8797
        0.0351       -53.8734
        0.0354       -52.8972
        0.0357       -51.9505
         0.036        -51.033
        0.0363        -50.144
        0.0366       -49.2828
        0.0369        -48.448
        0.0372       -47.6438
        0.0375        -46.876
        0.0378       -46.1327
        0.0381       -45.4146
        0.0384       -44.7217
        0.0387       -44.0539
         0.039       -43.4109
        0.0393       -42.7924
        0.0396       -42.1979
        0.0399       -41.6272
        0.0402       -41.0808
        0.0405       -40.5611
        0.0408       -40.0684
        0.0411       -39.6012
        0.0414       -39.1596
        0.0417       -38.7426
         0.042       -38.3489
        0.0423       -37.9775
        0.0426       -37.6279
        0.0429       -37.2995
        0.0432       -36.9922
        0.0435       -36.7057
        0.0438       -36.4398
        0.0441       -36.1946
        0.0444       -35.9696
        0.0447       -35.7649
         0.045       -35.5802
        0.0453       -35.4154
        0.0456       -35.2704
        0.0459       -35.1449
        0.0462       -35.0388
        0.0465       -34.9522
        0.0468       -34.8848
        0.0471       -34.8367
        0.0474       -34.8078
        0.0477       -34.7982
