# iteration    epot_max_error (V)    epot_L2_norm (V)
         2              121.458
         3              185.294
         4              223.138
         5              132.905
         6              134.149
         7              192.113
         8              172.174
         9              187.848
        10              162.609
        11              157.656
        12              115.246
        13              348.141
        14              401.364
        15              97.9471
        16              385.585
        17              426.636
        18              155.798
        19              281.654
        20              307.094
