# r (m)    potential (V)
             0       -4279.89
        0.0003       -4275.24
        0.0006       -4284.92
        0.0009       -4305.58
        0.0012       -4332.81
        0.0015          -4363
        0.0018       -4394.57
        0.0021       -4428.07
        0.0024        -4463.9
        0.0027       -4503.24
         0.003       -4548.53
        0.0033       -4601.31
        0.0036       -4662.87
        0.0039       -4734.69
        0.0042       -4817.81
        0.0045       -4913.01
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4536.61
        0.0063       -4101.47
        0.0066       -3739.31
        0.0069       -3429.39
        0.0072       -3159.35
        0.0075       -2920.91
        0.0078       -2708.24
        0.0081       -2516.99
        0.0084       -2343.83
        0.0087       -2186.16
         0.009        -2041.9
        0.0093       -1909.36
        0.0096       -1787.17
        0.0099       -1674.19
        0.0102       -1569.44
        0.0105       -1472.06
        0.0108       -1381.35
        0.0111       -1296.71
        0.0114       -1217.61
        0.0117       -1143.58
         0.012       -1074.19
        0.0123        -1009.1
        0.0126       -947.967
        0.0129       -890.508
        0.0132       -836.466
        0.0135       -785.622
        0.0138       -737.782
        0.0141       -692.767
        0.0144       -650.461
        0.0147       -610.766
         0.015       -573.515
        0.0153       -538.482
        0.0156       -505.539
        0.0159        -474.59
        0.0162       -445.515
        0.0165       -418.204
        0.0168       -392.622
        0.0171       -368.768
        0.0174       -346.524
        0.0177       -325.817
         0.018       -306.517
        0.0183       -288.575
        0.0186       -271.966
        0.0189       -256.668
        0.0192       -242.749
        0.0195       -230.259
        0.0198       -219.026
        0.0201       -208.859
        0.0204       -200.027
        0.0207       -191.859
         0.021         -184.3
        0.0213       -177.276
        0.0216       -170.727
        0.0219       -164.594
        0.0222       -158.814
        0.0225       -153.378
        0.0228       -148.282
        0.0231       -143.497
        0.0234       -139.005
        0.0237       -134.807
         0.024       -130.898
        0.0243       -127.241
        0.0246       -123.836
        0.0249        -120.69
        0.0252       -117.747
        0.0255       -115.004
        0.0258       -112.452
        0.0261       -110.082
        0.0264       -107.882
        0.0267       -105.861
         0.027       -104.021
        0.0273       -102.327
        0.0276       -100.779
        0.0279       -99.3788
        0.0282       -98.1114
        0.0285        -96.968
        0.0288         -95.96
        0.0291       -95.0933
        0.0294       -94.3571
        0.0297       -93.7299
          0.03       -93.2134
        0.0303       -92.8063
        0.0306       -92.5065
        0.0309       -92.3296
        0.0312       -92.2784
