# iteration    epot_max_error (V)    epot_L2_norm (V)
         2              222.715
         3              226.697
         4              1223.31
         5              1332.43
         6              359.123
         7              290.427
         8              246.275
         9              208.824
        10              250.213
        11              1121.78
        12              1188.55
        13              334.481
        14              273.081
        15              400.261
        16              420.883
        17              404.335
        18               402.71
        19              487.426
        20              450.132
