# r (m)    potential (V)
             0       -4279.89
        0.0003       -4281.49
        0.0006       -4287.39
        0.0009       -4296.66
        0.0012       -4309.33
        0.0015       -4326.15
        0.0018       -4348.28
        0.0021       -4376.51
        0.0024       -4410.86
        0.0027       -4452.89
         0.003       -4502.63
        0.0033       -4561.14
        0.0036       -4629.78
        0.0039       -4709.46
        0.0042        -4800.9
        0.0045       -4905.05
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4532.77
        0.0063        -4091.7
        0.0066       -3723.56
        0.0069       -3408.05
        0.0072       -3132.89
        0.0075       -2889.81
        0.0078       -2672.86
        0.0081       -2477.66
        0.0084       -2300.84
        0.0087       -2139.76
         0.009       -1992.32
        0.0093        -1856.8
        0.0096       -1731.81
        0.0099       -1616.15
        0.0102       -1508.84
        0.0105       -1409.03
        0.0108       -1315.98
        0.0111       -1229.08
        0.0114       -1147.76
        0.0117       -1071.56
         0.012       -1000.06
        0.0123       -932.892
        0.0126       -869.711
        0.0129       -810.225
        0.0132       -754.168
        0.0135        -701.29
        0.0138       -651.365
        0.0141       -604.193
        0.0144       -559.589
        0.0147       -517.383
         0.015       -477.412
        0.0153       -439.524
        0.0156       -403.581
        0.0159       -369.437
        0.0162       -336.953
        0.0165       -305.991
        0.0168       -276.405
        0.0171       -248.043
        0.0174       -220.761
        0.0177       -194.454
         0.018       -168.806
        0.0183       -143.511
        0.0186       -118.136
        0.0189            -92
        0.0192       -63.8774
        0.0195       -31.3554
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -1.66626
         0.021       -10.8338
        0.0213       -16.0769
        0.0216       -19.1542
        0.0219       -20.9348
        0.0222       -21.9619
        0.0225       -22.4459
        0.0228       -22.5704
        0.0231       -22.4531
        0.0234       -22.1734
        0.0237       -21.7849
         0.024       -21.3291
        0.0243       -20.8525
        0.0246       -20.3531
        0.0249       -19.8452
        0.0252       -19.3376
        0.0255       -18.8392
        0.0258       -18.3534
        0.0261       -17.8849
        0.0264       -17.4338
        0.0267       -17.0028
         0.027        -16.592
        0.0273       -16.1991
        0.0276       -15.8229
        0.0279       -15.4628
        0.0282       -15.1119
        0.0285       -14.7894
        0.0288        -14.506
        0.0291       -14.2455
        0.0294       -14.0155
        0.0297       -13.7971
          0.03       -13.5861
        0.0303       -13.3842
        0.0306       -13.1911
        0.0309       -13.0075
        0.0312       -12.8332
        0.0315       -12.6677
        0.0318       -12.5107
        0.0321       -12.3625
        0.0324       -12.2227
        0.0327       -12.0911
         0.033       -11.9675
        0.0333       -11.8518
        0.0336       -11.7436
        0.0339       -11.6427
        0.0342       -11.5486
        0.0345       -11.4607
        0.0348       -11.3786
        0.0351       -11.3016
        0.0354       -11.2295
        0.0357       -11.1617
         0.036       -11.0982
        0.0363       -11.0387
        0.0366       -10.9835
        0.0369       -10.9327
        0.0372       -10.8857
        0.0375       -10.8417
        0.0378       -10.8003
        0.0381       -10.7609
        0.0384       -10.7236
        0.0387       -10.6884
         0.039       -10.6552
        0.0393       -10.6242
        0.0396       -10.5955
        0.0399       -10.5692
        0.0402       -10.5452
        0.0405       -10.5234
        0.0408       -10.5037
        0.0411       -10.4859
        0.0414       -10.4697
        0.0417       -10.4548
         0.042        -10.441
        0.0423       -10.4279
        0.0426       -10.4156
        0.0429       -10.4035
        0.0432       -10.3916
        0.0435       -10.3802
        0.0438       -10.3687
        0.0441       -10.3576
        0.0444       -10.3468
        0.0447       -10.3365
         0.045       -10.3266
        0.0453       -10.3176
        0.0456       -10.3094
        0.0459       -10.3022
        0.0462        -10.296
        0.0465       -10.2908
        0.0468       -10.2867
        0.0471       -10.2838
        0.0474       -10.2822
        0.0477       -10.2817
