# r (m)    potential (V)
             0       -4279.89
        0.0003        -4289.2
        0.0006       -4311.81
        0.0009       -4339.98
        0.0012       -4369.54
        0.0015       -4399.51
        0.0018       -4430.66
        0.0021       -4463.84
        0.0024       -4500.57
        0.0027       -4543.37
         0.003       -4593.89
        0.0033       -4653.05
        0.0036       -4722.03
        0.0039       -4801.86
        0.0042       -4892.45
        0.0045       -4988.16
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057       -4578.74
         0.006       -4154.25
        0.0063       -3790.28
        0.0066       -3476.68
        0.0069       -3202.99
        0.0072       -2961.28
        0.0075       -2745.68
        0.0078       -2551.81
        0.0081       -2376.29
        0.0084       -2216.45
        0.0087       -2070.18
         0.009       -1935.76
        0.0093        -1811.8
        0.0096       -1697.12
        0.0099       -1590.73
        0.0102       -1491.78
        0.0105       -1399.55
        0.0108       -1313.41
        0.0111       -1232.82
        0.0114       -1157.29
        0.0117       -1086.39
         0.012       -1019.77
        0.0123       -957.113
        0.0126        -898.18
        0.0129       -842.758
        0.0132       -790.628
        0.0135       -741.549
        0.0138       -695.351
        0.0141       -651.856
        0.0144       -610.903
        0.0147       -572.357
         0.015       -536.059
        0.0153       -501.877
        0.0156       -469.728
        0.0159       -439.521
        0.0162       -411.105
        0.0165        -384.38
        0.0168       -359.263
        0.0171       -335.693
        0.0174        -313.63
        0.0177       -293.001
         0.018       -273.725
        0.0183       -255.755
        0.0186        -239.06
        0.0189       -223.551
        0.0192       -209.202
        0.0195       -196.189
        0.0198       -184.497
        0.0201       -174.197
        0.0204       -164.759
        0.0207       -155.797
         0.021       -147.297
        0.0213       -139.219
        0.0216       -131.544
        0.0219       -124.236
        0.0222       -117.247
        0.0225       -110.563
        0.0228       -104.165
        0.0231       -98.0214
        0.0234       -92.1073
        0.0237       -86.4433
         0.024       -81.0303
        0.0243        -75.826
        0.0246       -70.8363
        0.0249       -66.0166
        0.0252       -61.3641
        0.0255       -56.8717
        0.0258       -52.5206
        0.0261       -48.2984
        0.0264       -44.1928
        0.0267       -40.1943
         0.027        -36.294
        0.0273       -32.4831
        0.0276       -28.7534
        0.0279       -25.0968
        0.0282       -21.5061
        0.0285       -17.9753
        0.0288       -14.4981
        0.0291        -11.069
        0.0294        -7.6828
        0.0297        -4.3347
          0.03       -1.02051
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
